,order_details_id,order_id,pizza_id,quantity
0,1,1,hawaiian_m,1
1,2,2,classic_dlx_m,1
2,3,2,five_cheese_l,1
3,4,2,ital_supr_l,1
4,5,2,mexicana_m,1
5,6,2,thai_ckn_l,1
6,7,3,ital_supr_m,1
7,8,3,prsc_argla_l,1
8,9,4,ital_supr_m,1
9,10,5,ital_supr_m,1
10,13,7,spinach_supr_s,1
11,14,8,spinach_supr_s,1
12,24,10,mexicana_l,1
13,25,10,southw_ckn_l,1
14,35,14,the_greek_s,1
15,40,16,four_cheese_l,1
16,41,16,napolitana_s,1
17,42,16,thai_ckn_l,1
18,53,18,napolitana_l,1
19,54,19,ital_cpcllo_l,1
20,55,19,sicilian_l,1
21,58,21,ital_cpcllo_l,1
22,62,23,southw_ckn_s,1
23,69,26,classic_dlx_s,1
24,70,26,veggie_veg_l,1
25,75,29,green_garden_s,1
26,76,30,thai_ckn_l,1
27,77,31,mexicana_m,1
28,78,31,pepperoni_s,1
29,79,32,big_meat_s,1
30,80,32,green_garden_l,1
31,81,32,ital_cpcllo_l,1
32,82,32,ital_supr_m,1
33,83,33,bbq_ckn_l,1
34,84,33,green_garden_s,1
35,90,36,bbq_ckn_m,1
36,91,36,classic_dlx_m,1
37,92,37,ital_supr_l,1
38,93,37,mexicana_l,1
39,94,38,hawaiian_s,1
40,95,38,ital_cpcllo_l,1
41,97,40,four_cheese_l,1
42,98,40,southw_ckn_s,1
43,99,41,four_cheese_m,1
44,100,41,green_garden_s,1
45,105,43,ckn_alfredo_m,1
46,106,43,ital_supr_m,1
47,107,43,peppr_salami_l,1
48,108,44,spin_pesto_s,1
49,109,45,four_cheese_l,1
50,110,45,hawaiian_s,1
51,111,45,thai_ckn_m,1
52,112,46,ckn_pesto_l,1
53,113,46,classic_dlx_l,1
54,114,46,thai_ckn_m,1
55,125,52,hawaiian_l,1
56,126,52,mexicana_l,1
57,127,52,spicy_ital_l,1
58,128,53,pep_msh_pep_s,1
59,129,53,spinach_supr_m,1
60,130,54,prsc_argla_m,1
61,131,54,thai_ckn_l,1
62,134,56,classic_dlx_m,1
63,135,56,mediterraneo_l,1
64,136,56,southw_ckn_m,1
65,147,62,bbq_ckn_m,1
66,148,62,spinach_supr_m,1
67,158,68,classic_dlx_m,1
68,159,68,ital_supr_l,1
69,160,68,ital_supr_m,1
70,161,69,bbq_ckn_l,1
71,164,71,thai_ckn_l,1
72,167,74,five_cheese_l,1
73,168,74,mexicana_l,1
74,169,74,spin_pesto_s,1
75,170,74,spinach_supr_l,1
76,178,77,bbq_ckn_m,1
77,179,77,hawaiian_m,1
78,180,78,big_meat_s,1
79,181,78,classic_dlx_s,1
80,182,78,four_cheese_l,1
81,183,78,ital_cpcllo_m,1
82,184,78,spicy_ital_l,3
83,185,78,thai_ckn_s,1
84,186,79,ital_cpcllo_l,1
85,187,79,pep_msh_pep_s,1
86,188,79,thai_ckn_l,1
87,189,80,pepperoni_s,1
88,190,80,thai_ckn_m,1
89,191,81,thai_ckn_l,1
90,192,82,big_meat_s,1
91,193,82,cali_ckn_m,1
92,194,82,spicy_ital_l,1
93,195,82,veggie_veg_m,1
94,196,83,southw_ckn_s,1
95,197,84,pepperoni_l,1
96,198,85,classic_dlx_m,1
97,199,85,classic_dlx_s,1
98,200,85,ital_supr_l,1
99,201,85,the_greek_m,1
100,203,87,ital_cpcllo_m,1
101,204,87,mexicana_m,1
102,205,87,spinach_supr_l,1
103,206,87,spinach_supr_s,1
104,207,88,five_cheese_l,1
105,208,89,soppressata_l,1
106,209,89,thai_ckn_l,1
107,215,92,bbq_ckn_m,1
108,216,92,ital_supr_l,1
109,217,92,ital_supr_m,1
110,218,92,ital_veggie_s,1
111,219,92,pepperoni_m,1
112,220,92,peppr_salami_m,1
113,221,92,spinach_fet_s,1
114,222,92,spinach_supr_s,1
115,223,92,the_greek_m,2
116,224,93,sicilian_m,1
117,225,94,ital_cpcllo_m,1
118,226,94,southw_ckn_s,1
119,227,95,napolitana_s,1
120,228,95,peppr_salami_l,1
121,231,98,classic_dlx_l,1
122,232,98,napolitana_l,1
123,234,100,hawaiian_l,1
124,235,101,cali_ckn_l,1
125,236,101,pepperoni_l,1
126,237,101,soppressata_l,1
127,238,101,spicy_ital_m,1
128,242,104,bbq_ckn_m,1
129,243,104,ckn_alfredo_m,1
